,Date,Round,Total,Games,Ave.
6,2011-05-03,Round 7,210457,8,26307
7,2011-05-10,Round 8,309084,8,38636
8,2011-05-17,Round 9,304826,8,38103
9,2011-05-24,Round 10,258095,8,32262
10,2011-05-31,Round 11,273413,8,34177
11,2011-06-07,Round 12,320291,8,40036
12,2011-06-14,Round 13,236057,8,29507
13,2011-06-21,Round 14,289731,8,36216
14,2011-06-28,Round 15,315635,8,39454
15,2011-07-05,Round 16,235768,7,33681
16,2011-07-12,Round 17,239632,8,29954
17,2011-07-19,Round 18,278827,8,34853
18,2011-07-26,Round 19,247099,7,35300
19,2011-08-02,Round 20,226552,8,28319
20,2011-08-09,Round 21,254978,8,31872
21,2011-08-16,Round 22,247357,8,30920
22,2011-08-23,Round 23,243837,8,30480
23,2011-08-30,Round 24,304766,8,38096
24,2011-09-06,Finals,614783,9,68309
0,2012-03-22,Round 1,367792,9,40866
1,2012-03-29,Round 2,310672,9,34519
2,2012-04-05,Round 3,302659,9,33629
3,2012-04-12,Round 4,300972,9,33441
4,2012-04-19,Round 5,282328,9,31370
5,2012-04-26,Round 6,254392,9,28266
6,2012-05-03,Round 7,281893,9,31321
7,2012-05-10,Round 8,303699,9,33744
8,2012-05-17,Round 9,273277,9,30364
9,2012-05-24,Round 10,247812,9,27535
10,2012-05-31,Round 11,237640,6,39607
11,2012-06-07,Round 12,139854,6,23309
12,2012-06-14,Round 13,184006,6,30668
13,2012-06-21,Round 14,310685,9,34521
14,2012-06-28,Round 15,309624,9,34403
15,2012-07-05,Round 16,240532,9,26726
16,2012-07-12,Round 17,325416,9,36157
17,2012-07-19,Round 18,223224,9,24803
18,2012-07-26,Round 19,308526,9,34281
19,2012-08-02,Round 20,268155,9,29795
20,2012-08-09,Round 21,257944,9,28660
21,2012-08-16,Round 22,228794,9,25422
22,2012-08-23,Round 23,278980,9,30998
23,2012-08-30,Finals,539948,9,59994
0,2013-03-22,Round 1,365867,9,40652
1,2013-03-29,Round 2,350736,9,38971
2,2013-04-05,Round 3,292057,9,32451
3,2013-04-12,Round 4,290078,9,32231
4,2013-04-19,Round 5,317233,9,35248
5,2013-04-26,Round 6,278744,9,30972
6,2013-05-03,Round 7,264817,9,29424
7,2013-05-10,Round 8,289097,9,32122
8,2013-05-17,Round 9,311287,9,34587
9,2013-05-24,Round 10,239032,9,26559
10,2013-05-31,Round 11,214343,6,35724
11,2013-06-07,Round 12,192975,6,32163
12,2013-06-14,Round 13,163003,6,27167
13,2013-06-21,Round 14,238090,9,26454
14,2013-06-28,Round 15,371212,9,41246
15,2013-07-05,Round 16,256083,9,28454
16,2013-07-12,Round 17,208356,9,23151
17,2013-07-19,Round 18,243604,9,27067
18,2013-07-26,Round 19,324505,9,36056
19,2013-08-02,Round 20,279889,9,31099
20,2013-08-09,Round 21,291069,9,32341
21,2013-08-16,Round 22,276610,9,30734
22,2013-08-23,Round 23,309659,9,34407
23,2013-08-30,Finals,558034,9,62004
0,2014-03-22,Round 1,245531,9,27281
1,2014-03-29,Round 2,315842,9,35094
2,2014-04-05,Round 3,327783,9,36420
3,2014-04-12,Round 4,271667,9,30185
4,2014-04-19,Round 5,344796,9,38311
5,2014-04-26,Round 6,327529,9,36392
6,2014-05-03,Round 7,297854,9,33095
7,2014-05-10,Round 8,191687,6,31948
8,2014-05-17,Round 9,222401,6,37067
9,2014-05-24,Round 10,187669,6,31278
10,2014-05-31,Round 11,294956,9,32773
11,2014-06-07,Round 12,279163,9,31018
12,2014-06-14,Round 13,304016,9,33780
13,2014-06-21,Round 14,266749,9,29639
14,2014-06-28,Round 15,285971,9,31775
15,2014-07-05,Round 16,237232,9,26359
16,2014-07-12,Round 17,269744,9,29972
17,2014-07-19,Round 18,307041,9,34116
18,2014-07-26,Round 19,254434,9,28270
19,2014-08-02,Round 20,297353,9,33039
20,2014-08-09,Round 21,282405,9,31378
21,2014-08-16,Round 22,301741,9,33527
22,2014-08-23,Round 23,288446,9,32050
23,2014-08-30,Finals,569849,9,63317
0,2015-03-22,Round 1,359470,9,39941
1,2015-03-29,Round 2,295535,9,32837
2,2015-04-05,Round 3,295388,9,32821
3,2015-04-12,Round 4,314451,9,34939
4,2015-04-19,Round 5,330001,9,36667
5,2015-04-26,Round 6,247672,9,27519
6,2015-05-03,Round 7,294366,9,32707
7,2015-05-10,Round 8,291395,9,32377
8,2015-05-17,Round 9,291525,9,32392
9,2015-05-24,Round 10,285757,9,31751
10,2015-05-31,Round 11,193091,6,32182
11,2015-06-07,Round 12,178939,6,29823
12,2015-06-14,Round 13,212088,6,35348
13,2015-06-21,Round 14,268916,8,33615
14,2015-06-28,Round 15,257679,9,28631
15,2015-07-05,Round 16,297521,9,33058
16,2015-07-12,Round 17,264528,9,29392
17,2015-07-19,Round 18,303462,9,33718
18,2015-07-26,Round 19,257709,9,28634
19,2015-08-02,Round 20,292922,9,32547
20,2015-08-09,Round 21,295001,9,32778
21,2015-08-16,Round 22,260202,9,28911
22,2015-08-23,Round 23,263960,9,29329
23,2015-08-30,Finals,519053,9,57673
0,2016-03-22,Round 1,360850,9,40094
1,2016-03-29,Round 2,354131,9,39348
2,2016-04-05,Round 3,299675,9,33297
3,2016-04-12,Round 4,278607,9,30956
4,2016-04-19,Round 5,365491,9,40610
5,2016-04-26,Round 6,282559,9,31395
6,2016-05-03,Round 7,292474,9,32497
7,2016-05-10,Round 8,267333,9,29704
8,2016-05-17,Round 9,295936,9,32882
9,2016-05-24,Round 10,302505,9,33612
10,2016-05-31,Round 11,246205,9,27356
11,2016-06-07,Round 12,322270,9,35808
12,2016-06-14,Round 13,157572,6,26262
13,2016-06-21,Round 14,136314,6,22719
14,2016-06-28,Round 15,203712,6,33952
15,2016-07-05,Round 16,235019,9,26113
16,2016-07-12,Round 17,263052,9,29228
17,2016-07-19,Round 18,273002,9,30334
18,2016-07-26,Round 19,247010,9,27446
19,2016-08-02,Round 20,304807,9,33867
20,2016-08-09,Round 21,272374,9,30264
21,2016-08-16,Round 22,253550,9,28172
22,2016-08-23,Round 23,297208,9,33023
23,2016-08-30,Finals,558343,9,62038
0,2017-03-22,Round 1,400401,9,44489
1,2017-03-29,Round 2,322042,9,35782
2,2017-04-05,Round 3,284734,9,31637
3,2017-04-12,Round 4,311032,9,34559
4,2017-04-19,Round 5,391980,9,43553
5,2017-04-26,Round 6,273768,9,30419
6,2017-05-03,Round 7,297576,9,33064
7,2017-05-10,Round 8,266822,9,29647
8,2017-05-17,Round 9,238718,8,29840
9,2017-05-24,Round 10,331567,9,36841
10,2017-05-31,Round 11,163810,6,27302
11,2017-06-07,Round 12,234050,7,33436
12,2017-06-14,Round 13,197922,6,32987
13,2017-06-21,Round 14,303380,9,33709
14,2017-06-28,Round 15,306713,9,34079
15,2017-07-05,Round 16,320210,9,35579
16,2017-07-12,Round 17,305009,9,33890
17,2017-07-19,Round 18,269087,9,29899
18,2017-07-26,Round 19,274030,9,30448
19,2017-08-02,Round 20,306319,9,34035
20,2017-08-09,Round 21,294126,9,32681
21,2017-08-16,Round 22,271561,9,30173
22,2017-08-23,Round 23,369205,9,41023
23,2017-08-30,Finals,553818,9,61535
0,2018-03-22,Round 1,375114,9,41679
1,2018-03-29,Round 2,339530,9,37726
2,2018-04-05,Round 3,393587,9,43732
3,2018-04-12,Round 4,284030,9,31559
4,2018-04-19,Round 5,381880,9,42431
5,2018-04-26,Round 6,317832,9,35315
6,2018-05-03,Round 7,302578,9,33620
7,2018-05-10,Round 8,280105,9,31123
8,2018-05-17,Round 9,291379,9,32375
9,2018-05-24,Round 10,220057,8,27507
10,2018-05-31,Round 11,322362,9,35818
11,2018-06-07,Round 12,243316,7,34759
12,2018-06-14,Round 13,167266,6,27878
13,2018-06-21,Round 14,192441,6,32074
14,2018-06-28,Round 15,295018,9,32780
15,2018-07-05,Round 16,326995,9,36333
16,2018-07-12,Round 17,262516,9,29168
17,2018-07-19,Round 18,313343,9,34816
18,2018-07-26,Round 19,286798,9,31866
