,Date,Round,Total,Games,Ave.
9,1941-05-24,Round 10,56059,6,9343
10,1941-05-31,Round 11,69265,6,11544
11,1941-06-07,Round 12,56500,6,9417
12,1941-06-14,Round 13,78110,6,13018
13,1941-06-21,Round 14,63169,6,10528
14,1941-06-28,Round 15,71500,6,11917
15,1941-07-05,Round 16,68544,6,11424
16,1941-07-12,Round 17,68732,6,11455
17,1941-07-19,Round 18,64000,6,10667
18,1941-07-26,Finals,263596,4,65899
0,1942-03-22,Round 1,43000,5,8600
1,1942-03-29,Round 2,57000,5,11400
2,1942-04-05,Round 3,43000,5,8600
3,1942-04-12,Round 4,45000,5,9000
4,1942-04-19,Round 5,48500,5,9700
5,1942-04-26,Round 6,44500,5,8900
6,1942-05-03,Round 7,40500,5,8100
7,1942-05-10,Round 8,41000,5,8200
8,1942-05-17,Round 9,28000,5,5600
9,1942-05-24,Round 10,36000,5,7200
10,1942-05-31,Round 11,40000,5,8000
11,1942-06-07,Round 12,40000,5,8000
12,1942-06-14,Round 13,47000,5,9400
13,1942-06-21,Round 14,20000,5,4000
14,1942-06-28,Round 15,35500,5,7100
15,1942-07-05,Round 16,50000,5,10000
16,1942-07-12,Finals,132000,4,33000
0,1943-03-22,Round 1,56000,5,11200
1,1943-03-29,Round 2,45000,5,9000
2,1943-04-05,Round 3,50500,5,10100
3,1943-04-12,Round 4,59000,5,11800
4,1943-04-19,Round 5,66000,5,13200
5,1943-04-26,Round 6,58000,5,11600
6,1943-05-03,Round 7,56000,5,11200
7,1943-05-10,Round 8,46500,5,9300
8,1943-05-17,Round 9,61000,5,12200
9,1943-05-24,Round 10,42000,5,8400
10,1943-05-31,Round 11,48000,5,9600
11,1943-06-07,Round 12,48500,5,9700
12,1943-06-14,Round 13,57250,5,11450
13,1943-06-21,Round 14,52000,5,10400
14,1943-06-28,Round 15,44500,5,8900
15,1943-07-05,Round 16,47500,5,9500
16,1943-07-12,Finals,133409,4,33352
0,1944-03-22,Round 1,71000,6,11833
1,1944-03-29,Round 2,76500,6,12750
2,1944-04-05,Round 3,87000,6,14500
3,1944-04-12,Round 4,88000,6,14667
4,1944-04-19,Round 5,78000,6,13000
5,1944-04-26,Round 6,89000,6,14833
6,1944-05-03,Round 7,80000,6,13333
7,1944-05-10,Round 8,94000,6,15667
8,1944-05-17,Round 9,80000,6,13333
9,1944-05-24,Round 10,67500,6,11250
10,1944-05-31,Round 11,77000,6,12833
11,1944-06-07,Round 12,74000,6,12333
12,1944-06-14,Round 13,77000,6,12833
13,1944-06-21,Round 14,74000,6,12333
14,1944-06-28,Round 15,76000,6,12667
15,1944-07-05,Round 16,86250,6,14375
16,1944-07-12,Round 17,70500,6,11750
17,1944-07-19,Round 18,78000,6,13000
18,1944-07-26,Finals,137542,4,34386
0,1945-03-22,Round 1,91000,6,15167
1,1945-03-29,Round 2,80000,6,13333
2,1945-04-05,Round 3,91000,6,15167
3,1945-04-12,Round 4,83500,6,13917
4,1945-04-19,Round 5,92000,6,15333
5,1945-04-26,Round 6,104000,6,17333
6,1945-05-03,Round 7,84000,6,14000
7,1945-05-10,Round 8,94000,6,15667
8,1945-05-17,Round 9,93000,6,15500
9,1945-05-24,Round 10,79000,6,13167
10,1945-05-31,Round 11,78500,6,13083
11,1945-06-07,Round 12,68500,6,11417
12,1945-06-14,Round 13,77000,6,12833
13,1945-06-21,Round 14,92500,6,15417
14,1945-06-28,Round 15,62000,6,10333
15,1945-07-05,Round 16,90000,6,15000
16,1945-07-12,Round 17,85500,6,14250
